NHÓM 0 - đúng quyền (450 người)	NHÓM 1 - thừa quyền (239 người)	NHÓM 2 - thiếu quyền (117 người)	NHÓM 3 - sai quyền hoàn toàn (79 người)	NHÓM 4 - vừa làm thiếu vừa làm thừa quyển (6 người)
ANHCTV	ANDTT	ANHHN	ANHBN	GIANGPTT1
ANHDTT1	ANHBTV	ANHLTN2	ANHBT1	HADT2
ANHDTV2	ANHCT1	ANHNP1	ANHDQ1	MINHNTT
ANHLTV2	ANHDTV	ANHTTH	ANHNH1	NHUNGLH
ANHNP	ANHLTN	ANHUTL	ANHNH9	PHUONGTTT
ANHNTH2	ANHLTV3	BACHPN	ANHPD	THUANNXH
ANHNTK	ANHNH	CHAUTTN	ANHVTN	
ANHNTV	ANTTT	CHIHTK	BINHHT	
ANHNTV1	ANVT	CHINHNT1	CHAUDTM1	
ANHPH	BAOLM	CUONGBT	CHIVTL	
ANHTH	BAONV1	CUONGND2	DANNT	
ANHTL1	BICHPTN	DUNGHT1	DIEMNTK1	
ANHTT	BINHDV	DUONGDTT	DIEPDH	
ANHTT1	BONTV	DUONGPH	DUONGNC	
ANHTTN	CHINT	GIANGTT1	DUONGTT2	
ANHTTV2	CHINTK	GIANGVTH	GIANGNH	
ANHVTN2	CHUNGTTK	HALT3	GIANGPTH2	
ANN	CUONGVM	HALTT	HAIDV1	
ANNC	DATDT	HANHDH	HANHHTH	
ANVH	DATNV	HANHHT	HANHNLH	
BUOINT	DATTQ	HANHNTM	HANT8	
BUOITT	DATTT	HANHNTT	HIENNT2	
CHAMNT	DIEMNT	HANHTTM	HIENNTT	
CHAUDTM	DIEMNTH	HIENLPT	HOAILT	
CHAUPM	DIEPVH	HIENNTT6	HOANGNQ	
CHAUPTT	DOKD	HOANT4	HUENTP1	
CHIDM	DUNGCVK	HOANTN1	HUNGTM	
CHIDT	DUNGDT1	HUELT1	HUNGVV2	
CHILTN	DUNGNTN	HUNGDP	HUONGNTM1	
CHINH	DUONGNT3	HUNGVQ	HUYENNT	
CHINHNT	DUONGPQ	HUONGHT	LANLHN	
CHINTH	DUONGPTT	HUONGLT1	LIENNTM	
CHIPK	DUYENHMT	HUONGTTT2	LINHLH	
CHIPL	DUYNQ	HUONGVTM	LOANDT	
CHUNGBT	DUYPN	HUYENDTN	LYNT1	
CHUNGPV	GIANGHTT	HUYENDTT1	MAILTH	
CONGNX	GIANGPTH	HUYENNT5	MIENTDK	
CUCHT	GIAONDQ	HUYENNTB1	MINHTT	
CUONGBQ	HABT	HUYENQT	MYNTT	
CUONGTN	HADP	HUYENTT1	NAMLH	
DATLD	HAINT	HUYENTTM	NAMNH1	
DATTN	HALTX	HUYNHDNN	NGALT1	
DATTT1	HANDTN	KHANHNH	NGANNTH1	
DIEMNTN2	HANGHTM	LIENLTB	NGOCDTB	
DIEPNTN	HANGNT2	LINHHTC	NHANHT	
DONGTT	HANGNTT5	LINHNN1	NHATNTH	
DONGVT	HANGTTL	LINHNT11	NHUNGBH1	
DUCCS	HANHNB	LINHNTM	NHUNGNTH	
DUCDM	HANHTTK	LINHNTT	NHUNGPH	
DUCDT	HANHVTK	LINHPH	NHUNGVTH1	
DUCNC	HANTT1	LINHTP	OANHNK	
DUCNT1	HAUNH	LOANNB	OANHNT1	
DUCPV	HAUPT	LOANNTM	OANHTT	
DUCVQ1	HIENDT1	LUONGDC	PHUCPV	
DUNGBV	HIENHT1	LYDTH	PHUONGNT16	
DUNGCD	HIENLT1	LYND	PHUONGPM	
DUNGLT1	HIENNTP	MILTH	PHUONGTTT1	
DUNGNT10	HIEUMTK	MYNTL	PHUONGVTH	
DUNGNT6	HOADTV	MYVTL	QUANNTH	
DUNGNTL	HOAINT1	NGANNH	QUYENNT	
DUNGPH	HOAITTT	NGANNTH	THANGCH	
DUNGPT	HOATBD	NGANTTK	THANHBV	
DUNGTK	HUELT2	NGOCDB	THAONTH	
DUNGTTL	HUNGDV1	NGOCTTK	THAOPT	
DUONGVTT	HUNGNM2	NHIVTT	THINHBQ	
DUYDT	HUNGPM	NHUNTQ	THUANDH	
DUYHK	HUONGBTT3	OANHNT	THUYCT	
DUYND1	HUONGDN	OANHTTK	TIENVT	
DUYPV	HUONGDT6	PHUCBTH	TOANND3	
GIANGBT	HUONGDTH	PHUONGDL	TRAMLBN	
GIANGLN1	HUONGDTT5	PHUONGNT10	TRANGHT	
GIANGLNH	HUONGNL1	PHUONGNTL1	TRANGMM	
GIANGLTS	HUONGNT7	PHUONGPTT1	TRANGNTH6	
GIANGNH1	HUONGNTM	QUYNHDT1	TRANGPTT	
GIANGNNC	HUONGNTT5	QUYNHNPA	TRANGVTH	
GIANGNT3	HUONGNTT9	QUYNHPT	TRUNGDN	
GIANGNT5	HUONGPTT3	QUYNHTTT1	VANNA	
GIANGNT6	HUONGTT	SANGDV	YENNT	
GIANGNV	HUYENBT2	TAMBT1	YENTTH	
GIANGTDM	HUYENNT9	TAMVT		
GIANGTTH	KHANGLD	THANHBTP		
HACV	KHANHDB	THAOMTT		
HADTV	KIEUHTM	THAONP2		
HAINH2	LAMPD	THAONTT1		
HAITTH	LANDP	THAOTP1		
HALD1	LANHM	THINHLTT		
HALT4	LANTTH	THUYDTT		
HALTN1	LANVT	THUYLTV		
HALTT1	LIENHTB	THUYNA		
HANGDTP	LIENNP	THUYNN		
HANGDTT4	LIENPT	THUYNT8		
HANGHND	LIENTQ	THUYNT9		
HANGLT	LINHDTT	THUYNTP1		
HANGLT2	LINHHV	THUYTT3		
HANGLTM1	LINHLP	THUYTT9		
HANGLTT	LINHNDT	THUYTTT4		
HANGNT9	LINHNT1	TIENVNT		
HANGNTT	LINHNT7	TINHDTT		
HANGPM	LINHNTT7	TRANGCH		
HANGTT	LOANHTT	TRANGDLQ		
HANGTTT6	LOANNTT	TRANGDTT2		
HANHDT1	LONGNH3	TRANGHT2		
HANHHH	LONGNV2	TRANGLTH1		
HANHNT3	LONGTTP	TRANGNH1		
HANHTB	LUONGLTT1	TRANGNHM		
HANHTT	MAIDTP	TRANGVTQ		
HANHVTH	MAINT4	TRINHDN1		
HANT1	MANHNT2	TRUCNTT		
HANT10	MINHNT	TUYENBTT1		
HAPL	MYND	TUYETPTA		
HAPT1	MYNT1	VANBHH		
HATX	NAMNH	VANNTK1		
HIENLTT2	NAMNH3	VANTT		
HIENLTT1	NGADVQ	VUONGNV		
HIENNT14	NGANTP	XENTT		
HIENNT9	NGAVT	YCPN		
HIENNTT2	NGHIADT	YENNTH2		
HIENNTT1	NGHIPTH			
HIENNTT8	NGOCNG1			
HIENTTT	NGOCNTB3			
HIEUNM	NGOCNTY			
HOADT2	NGOCPT2			
HOADTT	NGUYENTH1			
HOAHD	NGUYETDM			
HOAHNN	NGUYETNTA			
HOAHTP	NGUYETTTB			
HOAILT1	NHAMHTM			
HOAITTT1	NHANLV			
HOAL	NHANNT1			
HOALTB	NHIND			
HOANGKL	NHINV			
HOANGTM2	NHINVV			
HOANGTP	NHUNGHA			
HOANGTT1	NHUNGLH2			
HOANGVT	NHUNGLT			
HOANNT	NHUNGNP1			
HOANNTK	NHUNGNTC1			
HOANT1	NHUNGNTT			
HOANT8	NHUNGPT			
HOAPK	NHUNGPTH1			
HOAPP	NHUTTM			
HOATS	OANHNTK3			
HUEDT3	PHIENVTK			
HUELT	PHUCHTN			
HUENT	PHUCPTD2			
HUETTH	PHUONGBT			
HUNGDD	PHUONGBT1			
HUNGDM	PHUONGDTT			
HUNGLH	PHUONGHTT3			
HUNGLQ	PHUONGLN			
HUNGNH3	PHUONGNTK			
HUNGNT	PHUONGNTX1			
HUONGBT	PHUONGPNT			
HUONGBTT	PHUONGPQ			
HUONGBTX	PHUONGVTK			
HUONGDTL1	PHUONGVTT			
HUONGDTT2	QUANGNH2			
HUONGHM2	QUANGPM			
HUONGHTT	QUYETHK			
HUONGLD	SONLD			
HUONGMTL	SONPN			
HUONGNL	SONTT			
HUONGNM	TAMNTP			
HUONGNT5	TAMNTT			
HUONGNTK	TAMPT1			
HUONGNTM2	THANHBT			
HUONGNTM3	THANHDTP			
HUONGNTT11	THANHNH1			
HUONGNTT17	THANHNT			
HUONGPTT2	THANHNV			
HUONGTTT4	THANHNX			
HUONGTVT	THANHPM			
HUONGVTT2	THANHVD			
HUUNV	THAOHK			
HUYENBT1	THAOKP			
HUYENLP	THAONTP			
HUYENLTT	THAONTP1			
HUYENLTT1	THAOTTH			
HUYENLX	THINHPT			
HUYENNT10	THITTM			
HUYENNT2	THOMNT1			
HUYENPK	THUANNT1			
HUYNV	THUDH			
HUYPQ1	THUMTH			
KHANHHTN	THUONGNT1			
KHANHLQ	THUONGNT2			
KHANHPTK	THUPHA			
KHANHTV1	THUTH			
KHOANN	THUYETHN			
KHOATV	THUYNT7			
KHUYENHT	THUYNTM1			
KHUYENNT	THUYNTX			
KIENNT1	THUYPT2			
KIENNT3	THUYTP2			
KIEUDT	TIEMDS1			
KIEULT	TIENLT			
LAMTN	TIENNQ			
LANLH	TOANND			
LANNTT	TRAMTTB			
LANPTP	TRANGDH			
LANTTM	TRANGDT3			
LICHND	TRANGNTQ			
LIENNT1	TRANGNTT			
LIENVT	TRANGNTT5			
LINHBN	TRANGNTT6			
LINHBTA	TRANGNTT8			
LINHBTH	TRANGPK			
LINHCNH	TRANGPTH			
LINHDD	TRANGPTH1			
LINHDN2	TRANGPTQ			
LINHDN1	TRANGTQ			
LINHND2	TRANGTTM			
LINHNT3	TRANGTTT1			
LINHNTK1	TRANGVK			
LINHNTT2	TRANTH			
LINHNV	TRIETNT			
LINHPNH	TRINHTM			
LINHPTT2	TRUNGNK1			
LOITT	TUANND			
LUANTV	TUANNM2			
LUATDV	TUHV			
LUCHT	TUNTN			
LUYENNT1	TUNTN1			
LUYENNV	TUOIDT			
LYHTY	TUYENNTK			
LYNT	TUYENNTT			
LYNTH	TUYETNTA			
LYPTM	TYBTV			
MAIBTN	UYENHT			
MAILT	VANDTT			
MAINQ1	VANNTH2			
MAINT	VANTTT			
MAINT3	VANVTT1			
MAITT	VINHAD			
MANHHQ	YENLTK			
MINHDA	YENMTH			
MINHNT3	YENNH1			
MINHPA	YENNTH			
MINHPT	YENPTH1			
MYTT				
NAMNB				
NAMNN				
NAMNN3				
NAMNP1				
NAMNV				
NGABH				
NGADT				
NGALTH				
NGANPTK				
NGANTQ				
NGANTT				
NGANTTH				
NGANTTT				
NGHIAND				
NGOCLTM				
NGOCNB3				
NGOCNM				
NGOCNT				
NGOCNTA				
NGOCNTB				
NGOCTTT				
NGOCTTT1				
NGOCVTH				
NGUYENNTH				
NGUYENNTT				
NGUYETNT				
NGUYETPT				
NHANNTM				
NHANVT				
NHIENNTK				
NHIHC				
NHUNGNTH4				
NHUNGNTH5				
NHUNGNTH7				
NHUNGNTT1				
NHUNGVTT				
NUTH				
PHATNT				
PHATTL				
PHUCTTD				
PHULV				
PHUNGNT				
PHUOCNT				
PHUONGBTH				
PHUONGDT				
PHUONGDTT1				
PHUONGHH				
PHUONGKTT				
PHUONGLTC				
PHUONGNH3				
PHUONGNT13				
PHUONGNT8				
PHUONGNT9				
PHUONGNTA				
PHUONGPT3				
PHUONGTH				
PHUONGTL				
PHUONGTNK				
PHUONGTT2				
PHUONGTT4				
PHUONGTTH1				
QUANNB				
QUANTA				
QUOCPT				
QUYENNTM				
QUYENTTT				
QUYNHDD				
QUYNHHTH				
QUYNHLT2				
QUYNHLTT				
QUYNHPTH				
QUYNHTNN				
QUYNHTTT				
QUYNTN				
SAHK				
SANGLH				
SONLT				
SONNH				
SONTC				
TAMBTT				
TAMHTL				
TAMLTM				
TAOTD				
THAIVQ				
THAIVT				
THANGDD				
THANGND				
THANGPM				
THANGTT				
THANGVN				
THANHBL				
THANHBP				
THANHCTY				
THANHLT				
THANHLTM				
THANHNTP2				
THANHNTT				
THANHPC1				
THANVQ				
THAODTH				
THAOLTP				
THAOTLP				
THAOTP2				
THAOTT1				
THAOTT3				
THETV				
THINH				
THINHDVB				
THOALT				
THOANT				
THOAPK				
THOMCT				
THONT				
THUANNT2				
THUKM				
THUNGTH				
THUONGNH				
THUPTA				
THUYBX				
THUYDT1				
THUYHT				
THUYNT				
THUYNT3				
THUYNT4				
THUYNTA1				
THUYNTD				
THUYPH				
THUYTD				
THUYTT1				
THUYTTD				
THUYTTL				
THUYTTN				
THUYVTT				
TIENNM2				
TIENNTT				
TIENNX				
TINHLT				
TOANND1				
TOANPV				
TOANTC				
TRAMNTQ				
TRANGDT2				
TRANGDTH				
TRANGDTH1				
TRANGHH				
TRANGHTH				
TRANGKTT				
TRANGLN				
TRANGMTT				
TRANGNM1				
TRANGNT1				
TRANGNTK				
TRANGNTQ4				
TRANGNTT12				
TRANGNTT2				
TRANGNTT4				
TRANGPQ1				
TRANGTTH4				
TRANGTTH5				
TRANGTTT5				
TRANGVM				
TRANTB				
TRINHCTK				
TRINHDN				
TRINHNTK				
TRINHNV				
TRINM1				
TRONGNVB				
TRUNGDB				
TRUNGTV				
TRUONGTC				
TRUONGTV				
TUANCA1				
TUANHVT				
TUANLM1				
TUANNA3				
TUANNV7				
TUANVX				
TUBTN				
TULC				
TUNGLM				
TUNGNT3				
TUNGNV				
TUNGPT1				
TUNTN2				
TUYENDTK				
TUYENHV				
TUYENNV1				
TUYENNV2				
TUYENVTK				
TUYETVY				
UYENPTT				
VANBTT				
VANCTT				
VANDTL				
VANHTH				
VANLTK				
VANNMT				
VANNTH				
VANNTH1				
VANVT				
VIETANH				
VINHNQ1				
VUNA				
YENCH				
YENDT2				
YENHH1				
YENNTN				
YENTH2				
YNTH				